Census Tract Id (Geoid),Total Population,Percent White,Percent Hispanic,Percent Forest Cover,Trees Per Capita,Public School Ratio,Schools Per Capita
12099006906,5002,63.2,3.9,0.0,0.0,,0.0
12103027000,5002,76.1,2.1,0.07,0.006455766724019841,0.75,0.0007996801279488205
12011040901,5001,5.8,3.4,0.0,0.0,0.0,0.0001999600079984003
12086004703,5001,51.6,0.4,0.0,0.0,0.6666666666666666,0.0011997600479904018
12086018500,4999,44.0,1.2,0.5,0.016149102397253076,,0.0
12086008423,4999,44.6,0.2,0.39,0.035528025273956765,1.0,0.00020004000800160032
12111382127,4998,77.1,0.1,1.0,0.5330270058358639,1.0,0.0006002400960384153
12055960503,4997,64.5,0.0,9.09,10.704677976155898,1.0,0.00020012007204322593
12033002400,4993,61.2,4.6,15.47,11.64779351522904,,0.0
12095014806,4993,54.6,0.6,2.07,0.2522287324230608,,0.0
12105012126,4993,59.4,1.3,4.41,0.6273381293599205,1.0,0.0004005607850991388
12105011832,4993,67.4,1.0,6.3,3.909545352557443,1.0,0.001001401962747847
12081002012,4992,85.0,0.1,0.06,0.029109145270625525,0.75,0.0008012820512820513
12103025013,4991,70.1,2.0,0.0,0.0,1.0,0.0002003606491685033
12099003201,4990,28.5,1.4,0.0,0.0,,0.0
12057012401,4989,66.6,2.3,6.69,3.899734707358633,1.0,0.00020044097013429546
12103027327,4989,74.6,0.0,6.07,1.7961433714390382,1.0,0.00020044097013429546
12033004000,4988,42.8,3.0,33.98,114.7658204108879,1.0,0.00020048115477145148
12057000601,4987,46.1,1.3,2.29,0.11007813667742193,0.0,0.00020052135552436334
12021010508,4986,81.3,0.0,0.29,0.02914417432630618,,0.0
12086016502,4984,42.6,0.7,0.0,0.0,0.0,0.00020064205457463884
12099007835,4984,83.2,0.0,0.02,0.006479082093408356,1.0,0.00020064205457463884
12073000303,4984,21.7,0.5,23.56,1.8756942660417193,1.0,0.00020064205457463884
12127082506,4983,92.0,2.8,7.15,1.2409932163163353,1.0,0.0002006823198876179
